,genre,vote,rating,sample.size,features,train.accuracy,train.f1score,train.auc,test.precision,test.recall,test.sensitivity,test.specificity,test.accuracy,test.f1score,test.auc,method
1,All,50,0.8,5014,110,0.7465104686,0.7412872043,0.7465104686,0.6835699797,0.6726546906,0.6726546906,0.6886227545,0.6806387226,0.6780684105,0.6806387226,GBM
2,All,50,0.8,5014,110,0.8105682951,0.8116013882,0.8105682951,0.7044025157,0.6706586826,0.6706586826,0.7185628743,0.6946107784,0.6871165644,0.6946107784,SVM
3,All,50,0.8,5014,110,0.7445164506,0.7433007764,0.7445328803,0.7116182573,0.6832669323,0.6832669323,0.722,0.7025948104,0.6971544715,0.7026334661,GBM
4,All,50,0.8,5014,110,0.7933698903,0.7975579976,0.7933232538,0.701171875,0.7151394422,0.7151394422,0.694,0.7045908184,0.708086785,0.7045697211,SVM
5,All,50,0.8,5014,110,0.7539880359,0.7435697584,0.7536978592,0.6893787575,0.6921529175,0.6921529175,0.6930693069,0.6926147705,0.6907630522,0.6926111122,GBM
6,All,50,0.8,5014,110,0.8075772682,0.8051489147,0.8075296484,0.6916666667,0.6680080483,0.6680080483,0.7069306931,0.6876247505,0.6796315251,0.6874693707,SVM
7,All,50,0.8,5014,110,0.7465104686,0.7355006502,0.7462881708,0.6861471861,0.6365461847,0.6365461847,0.7123015873,0.6746506986,0.6604166667,0.674423886,GBM
8,All,50,0.8,5014,110,0.8068295115,0.8084054388,0.806907591,0.6970338983,0.6606425703,0.6606425703,0.7162698413,0.6886227545,0.6783505155,0.6884562058,SVM
9,All,50,0.8,5014,110,0.7497507478,0.749,0.7498016212,0.6882129278,0.7182539683,0.7182539683,0.6706827309,0.6946107784,0.7029126214,0.6944683496,GBM
10,All,50,0.8,5014,110,0.7986041874,0.8031189084,0.7984891151,0.688976378,0.6944444444,0.6944444444,0.6827309237,0.6886227545,0.6916996047,0.6885876841,SVM
11,All,50,0.8,5014,110,0.7457627119,0.7373841401,0.7456878224,0.6993318486,0.628,0.628,0.7310756972,0.6796407186,0.6617492097,0.6795378486,GBM
12,All,50,0.8,5014,110,0.8035892323,0.8027040561,0.8035830419,0.6879120879,0.626,0.626,0.7171314741,0.6716566866,0.6554973822,0.6715657371,SVM
13,All,50,0.8,5014,110,0.7572283151,0.7558897243,0.7573795492,0.7117296223,0.7061143984,0.7061143984,0.7070707071,0.7065868263,0.7089108911,0.7065925527,GBM
14,All,50,0.8,5014,110,0.804336989,0.8110709988,0.804042796,0.7117296223,0.7061143984,0.7061143984,0.7070707071,0.7065868263,0.7089108911,0.7065925527,SVM
15,All,50,0.8,5014,110,0.7721834497,0.7725236436,0.7722262359,0.6834951456,0.697029703,0.697029703,0.6720321932,0.6846307385,0.6901960784,0.6845309481,GBM
16,All,50,0.8,5014,110,0.8060817547,0.8101512933,0.805957979,0.6740890688,0.6594059406,0.6594059406,0.676056338,0.6676646707,0.6666666667,0.6677311393,SVM
17,All,50,0.8,5014,110,0.7572283151,0.7606879607,0.7572663827,0.6921641791,0.724609375,0.724609375,0.6632653061,0.6946107784,0.7080152672,0.6939373406,GBM
18,All,50,0.8,5014,110,0.8050847458,0.8107454017,0.8048134013,0.7065868263,0.69140625,0.69140625,0.7,0.6956087824,0.6989141165,0.695703125,SVM
19,All,50,0.8,5014,110,0.7671984048,0.7706286837,0.7674224081,0.6703499079,0.7054263566,0.7054263566,0.6316872428,0.6696606786,0.6874409821,0.6685567997,GBM
20,All,50,0.8,5014,110,0.807328016,0.8150275185,0.8068016729,0.6946107784,0.6744186047,0.6744186047,0.6851851852,0.6796407186,0.6843657817,0.6798018949,SVM
