"","Genre","Feature"
"1","Action","recommend(100), wv.474(100), days.interval(43.47), wv.965(43.47), index(17.32), wv.876(17.32), au.time.play(10.45), wv.210(10.45), wv.96(5.36), wv.216(5.36), wv.665(4.6), wv.30(4.6), n.sentence(4.5), wv.974(4.5), wv.292(4.37), wv.226(4.37), wv.864(3.89), wv.856(3.89), wv.136(3.8), wv.352(3.8)"
"2","Strategy","days.interval(100), wv.753(100), wv.546(100), recommend(74), wv.971(74), wv.317(74), index(13.37), wv.314(13.37), wv.867(13.37), n.paragraph(9.87), liwc.Dic(9.87), wv.246(8.85), wv.517(8.85), wv.94(8.85), n.games(7.53), wv.620(7.53), wv.840(7.53), wv.665(7.44), wv.413(7.44), wv.743(7.44)"
"3","RPG","recommend(100), wv.164(100), days.interval(23.73), wv.913(23.73), au.time.play(10.57), wv.772(10.57), index(5.11), wv.250(5.11), wv.657(2.33), wv.551(2.33), n.paragraph(2.2), wv.920(2.2), wv.372(2.16), wv.610(1.46), wv.837(1.46), n.cap(1.38), wv.804(1.38), wv.136(1.38), wv.891(1.38), wv.482(1.3)"
"4","Survival","recommend(100), wv.844(100), index(43.41), wv.129(43.41), days.interval(22.42), wv.893(22.42), n.content.remove(12.91), wv.753(12.91), wv.471(9.41), wv.600(9.41), wv.627(9.31), wv.920(9.31), wv.463(7.33), wv.707(7.33), wv.771(6.83), wv.247(6.83), wv.649(6.19), wv.44(6.19), n.sentence(6.11), wv.674(6.11)"
"5","Simulation","recommend(100), wv.986(100), index(73.29), wv.786(73.29), au.time.play(71.68), wv.491(71.68), n.games(54.25), wv.480(54.25), wv.698(35.94), wv.89(35.94), days.interval(29.29), wv.94(29.29), wv.355(15.07), wv.108(15.07), wv.420(14.89), wv.435(14.89), wv.943(14.76), wv.42(14.76), wv.315(14.75), wv.818(14.75)"
"6","Adventure","recommend(100), wv.937(100), days.interval(64.85), wv.362(64.85), ratio.punctuation(18.92), wv.856(18.92), wv.420(10.29), wv.545(10.29), wv.108(10.27), wv.27(9.75), wv.433(9.75), wv.102(9.63), wv.865(9.14), wv.112(9.14), index(8.04), wv.328(8.04), wv.796(7.68), wv.991(7.68), wv.173(7.41), wv.392(7.41)"
"7","FPS","recommend(100), wv.774(60.48), wv.622(60.35), days.interval(33.25), wv.588(15.25), wv.236(5.34), wv.121(5.01), au.time.play(4.82), wv.110(3.94), n.games(3.91), wv.890(3.86), wv.313(3.81), wv.979(3.57), liwc.Period(3.55), wv.621(3.49), wv.905(3.48), wv.568(3.35), wv.546(3.21), wv.571(3.12), wv.174(3.02)"
"8","Horror","recommend(100), wv.669(80.78), days.interval(21.76), wv.592(17.92), wv.543(13.06), wv.178(12.76), wv.869(6.66), wv.108(6.44), index(5.7), wv.553(5.62), wv.984(5.33), wv.249(5.29), wv.404(5.25), wv.983(5.17), wv.616(4.83), wv.512(4.71), wv.421(4.66), wv.699(4.22), wv.624(4.21), wv.990(4.1)"
"9","Racing","recommend(100), wv.804(100), index(21.78), liwc.prep(21.78), wv.613(21.07), wv.422(21.07), au.time.play(16.6), wv.261(16.6), wv.367(13.61), wv.459(13.61), wv.883(8.7), wv.839(8.7), ratio.cap(8.56), wv.48(8.56), days.interval(7.78), wv.975(7.78), wv.650(6.16), wv.567(6.16), wv.350(6.11), wv.195(6.11)"
"10","Anime","recommend(100), wv.327(64.03), wv.80(43.57), index(40.95), liwc.social(23.33), wv.444(10.86), days.interval(9.46), wv.937(8.34), wv.771(7.54), wv.225(6.51), wv.60(6.16), wv.619(6.16), wv.73(6.03), wv.4(5.9), n.games(5.76), wv.682(5.23), au.time.play(5.2), wv.925(4.95), wv.7(4.56), wv.345(4.53)"
