"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","weight","total","mean"
"1","recommend",679.089417793825,637.31224210727,605.574317299001,704.561455094852,668.675510622238,619.455104686889,641.369066464498,644.786840198178,583.270354436961,669.326438566759,6453.42074727047,645.342074727047
"618","wv.474",679.089417793825,637.31224210727,605.574317299001,704.561455094852,668.675510622238,619.455104686889,641.369066464498,644.786840198178,583.270354436961,669.326438566759,6453.42074727047,645.342074727047
"2","days.interval",260.336874698308,270.086779345135,300.604183408346,305.358448724598,270.716517755355,273.658488655311,233.534763419727,286.4437475176,341.077316836671,263.360529524721,2805.17764988577,280.517764988577
"619","wv.965",260.336874698308,270.086779345135,300.604183408346,305.358448724598,270.716517755355,273.658488655311,233.534763419727,286.4437475176,341.077316836671,263.360529524721,2805.17764988577,280.517764988577
"4","index",127.444055764222,132.388035951314,76.5517411981802,113.698330829732,83.0478971409279,105.656232463138,102.518508222851,82.6515320401903,148.626793251364,145.271254287952,1117.85438114987,111.785438114987
"621","wv.876",127.444055764222,132.388035951314,76.5517411981802,113.698330829732,83.0478971409279,105.656232463138,102.518508222851,82.6515320401903,148.626793251364,145.271254287952,1117.85438114987,111.785438114987
"3","au.time.play",85.2570657518244,80.5112455603946,76.1009139537672,69.834776435767,39.4749140136838,55.8889455078762,59.6571574080704,80.2967591653166,55.2223952333302,72.328589127643,674.572762157673,67.4572762157673
"620","wv.210",85.2570657518244,80.5112455603946,76.1009139537672,69.834776435767,39.4749140136838,55.8889455078762,59.6571574080704,80.2967591653166,55.2223952333302,72.328589127643,674.572762157673,67.4572762157673
"271","wv.96",42.6953732498207,6.50844509399205,42.3390464297313,28.9140153986366,37.4647860796584,71.2646027332178,14.4083691363335,19.7657130684386,31.217438497413,51.5011308535151,346.078920540757,34.6078920540757
"888","wv.216",42.6953732498207,6.50844509399205,42.3390464297313,28.9140153986366,37.4647860796584,71.2646027332178,14.4083691363335,19.7657130684386,31.217438497413,51.5011308535151,346.078920540757,34.6078920540757
"67","wv.665",40.6706488982751,15.8756972123259,58.9961183694947,25.3917219058315,43.3301726705881,8.57202561386489,34.7773781354666,5.04571975539751,35.7369482571419,28.7303663054669,297.126797123853,29.7126797123853
"684","wv.30",40.6706488982751,15.8756972123259,58.9961183694947,25.3917219058315,43.3301726705881,8.57202561386489,34.7773781354666,5.04571975539751,35.7369482571419,28.7303663054669,297.126797123853,29.7126797123853
