"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","weight","total","mean"
"1","recommend",170.618219258414,165.228625005981,124.552384052049,210.510923855475,178.615708543291,165.997816184583,148.096809846627,171.51500287497,186.512283276339,195.722611983085,1717.37038488081,171.737038488081
"697","wv.327",170.618219258414,165.228625005981,82.7374200880579,56.7304644891738,0,56.1271619120426,148.096809846627,171.51500287497,52.835465253715,195.722611983085,1099.61178071207,109.961178071207
"696","wv.80",0,0,124.552384052049,210.510923855475,59.7224496064916,165.997816184583,0.963042055001752,0,186.512283276339,0,748.258899029939,74.8258899029939
"2","index",85.0025178152608,100.724942468977,82.7374200880579,56.7304644891738,59.7224496064916,56.1271619120426,60.1787730822312,67.8053837157001,52.835465253715,81.3905994114263,703.255177843076,70.3255177843076
"698","liwc.social",85.0025178152608,100.724942468977,0,0,5.50839426919405,0,60.1787730822312,67.8053837157001,0,81.3905994114263,400.610610762789,40.0610610762789
"695","wv.444",2.90371698176054,3.12016442500848,0,0,178.615708543291,0,0,0.854160187341403,0.985896066282351,0,186.479646203684,18.6479646203684
"6","days.interval",25.139605533913,5.52807173386058,22.221452974784,6.86264609594999,3.53138281219037,26.5280158585377,17.3251730858589,13.2754425202875,27.6790087478337,14.291466956287,162.382266319503,16.2382266319503
"701","wv.937",14.324601061634,0,22.221452974784,6.86264609594999,0,26.5280158585377,18.6038059779847,14.2367564680924,27.6790087478337,12.7138704975279,143.170157682344,14.3170157682344
"99","wv.771",14.8200163466675,15.1560789326097,6.50004690655031,0,2.33919631136881,13.5655320721468,20.7582696245795,28.2210398006222,9.51631292979338,18.5494140387961,129.425906963134,12.9425906963134
"625","wv.225",22.5989851755812,14.7753837983259,0,6.78064054625062,0,0,24.0347533353779,31.91281745775,4.30254797457279,7.44858680003448,111.853715087893,11.1853715087893
"156","wv.60",7.49626196525358,13.7955048085132,30.2893049016375,9.49213338001507,13.9431152111601,17.53858662421,1.17902584205307,10.2869118412295,0,1.83957387641782,105.86041845049,10.586041845049
"89","wv.619",12.3756312910264,9.46728519791803,10.05924461554,15.7173285574189,1.07100049019048,14.8533812911559,0,17.3713290446614,7.73218543366401,17.0637335477424,105.711119469318,10.5711119469318
"10","wv.73",1.8817572577287,2.94956728579979,6.10839060886527,13.6600471520824,14.065124324688,3.50930933866544,10.9118775290815,14.877531299768,12.3805777621438,23.2757735230508,103.619956081874,10.3619956081874
"795","wv.4",14.8200163466675,15.1560789326097,0,1.00107724932504,0,2.76182677869622,20.7582696245795,28.2210398006222,0,18.5494140387961,101.267722771296,10.1267722771296
"54","n.games",16.4990964990848,6.14837290883443,0,3.28609491045419,13.2740007684875,13.2481606240865,25.2846518190382,4.00950413657646,6.00397275467488,11.2342659796061,98.9881204008431,9.89881204008431
"164","wv.682",19.7375513065727,13.8906686019793,3.81345827563877,15.6019784322793,4.48014962519426,13.9907825434556,0,1.21523360760839,17.0029626353737,0,89.732785028102,8.9732785028102
"4","au.time.play",13.2321118920858,17.695211882648,13.3413686317861,0,5.50839426919405,9.8889750683135,4.82175946420361,6.04522893925464,7.76499362116085,11.0007754184388,89.2988191870853,8.92988191870853
"126","wv.925",20.8526510055815,9.83436176782929,17.6799649906536,5.80164113641205,9.16028640865879,3.5410142410228,0,0,11.207846116037,6.92013438490748,84.9979000511025,8.49979000511025
"746","wv.7",2.87304813504222,13.2189703747469,24.9979980148534,7.39743959178528,8.96738664456466,0,0,13.5031198921196,4.27278995847719,3.13750472033071,78.36825733192,7.836825733192
"51","wv.345",0,10.1952933803734,24.9979980148534,7.39743959178528,5.49364927581414,0,5.0422189367074,15.4482832483035,4.27278995847719,5.02280014923826,77.8704725555526,7.78704725555526
"750","wv.342",16.4990964990848,6.14837290883443,0,3.68168260564661,10.482453366318,0,25.2846518190382,4.00950413657646,0,11.2342659796061,77.3400273151046,7.73400273151046
"702","wv.985",25.139605533913,5.52807173386058,0,0,0,0,17.3251730858589,13.2754425202875,0,14.291466956287,75.559759830207,7.5559759830207
"123","wv.703",23.2038184478499,14.0224188954685,13.8410419377622,3.37251123170654,0,7.77023221065401,0,0,13.3384136160239,0,75.5484363394651,7.55484363394651
"5","wv.653",14.324601061634,0,1.25635233064996,8.47994638264103,0,3.53765776967011,18.6038059779847,14.2367564680924,1.06950524711967,12.7138704975279,74.2224957353198,7.42224957353198
"442","wv.371",5.14466779773716,11.7243465973311,16.8290428968952,7.78083436007778,1.30539332288513,9.51646629474134,12.0617113953212,1.06833096851494,4.10609232534181,3.55090163858082,73.0877875974265,7.30877875974265
"794","wv.211",7.39207004723856,0.929527237101357,6.50004690655031,0,0,13.5655320721468,6.17475431382467,5.15107648084144,9.51631292979338,22.0842472297534,71.3135672172499,7.13135672172499
"282","wv.341",21.4039737775053,9.58558048325578,1.1659444607556,6.28259256720672,16.0541211895875,13.2015131683932,0,1.47725043097798,1.89931074408349,0,71.0702868217656,7.10702868217656
"700","wv.758",13.2321118920858,17.695211882648,1.25635233064996,8.47994638264103,3.53138281219037,3.53765776967011,4.82175946420361,6.04522893925464,1.06950524711967,11.0007754184388,70.669932138902,7.0669932138902
"250","wv.475",10.1942428915319,12.3750277204604,5.83670224560699,3.44763824229531,10.9464953717858,14.8265628542625,0,2.31222801007237,3.93736166353119,4.46199641099957,68.338255410546,6.8338255410546
"19","wv.267",0,0,0,23.3236438411177,4.96381006898767,6.75280559014888,3.04980850755798,14.7355167162253,9.16786622575981,5.25340056729362,67.246851517091,6.7246851517091
"624","wv.544",0,0,21.464885034647,14.5036810126994,3.08351541479032,22.9752433797542,0,0,4.97806316732967,0,67.0053880092206,6.70053880092206
"851","wv.323",4.83063339450222,0,30.2893049016375,9.49213338001507,0,17.53858662421,3.24812455973058,0,0,0,65.3987828600954,6.53987828600954
"65","wv.440",1.22462711213631,0,25.2445103524128,0,33.9495790958115,0,1.90724999649373,0,1.97015318762776,0,64.2961197444821,6.42961197444821
"820","wv.712",0,0,0,1.59779890719761,9.16028640865879,0,26.5150537114267,18.9506022526743,7.22620808615163,0,63.449949366109,6.3449949366109
"98","ratio.cap",7.39207004723856,0.929527237101357,4.98372406690511,3.61650685656783,4.25122618782024,0,6.17475431382467,5.15107648084144,7.72468384152149,22.0842472297534,62.3078162615741,6.23078162615741
"127","wv.912",0,1.02198754001229,5.23583530935808,0,4.86980567952128,1.45685557831322,13.6900819803204,15.5694199798757,9.57096849181986,10.8848833704536,62.2998379296744,6.22998379296744
"94","wv.826",8.49289188369882,12.9434236994836,8.10078911205837,0,14.4481194476095,1.11730666867337,4.42204212029406,0,12.6948303965443,0,62.219403328362,6.2219403328362
"574","wv.592",13.3417325269042,12.8774513067751,0,3.50150493214882,0.869431580922905,0,8.92951709010709,13.7577476590416,0,8.76948785093612,62.0468729468358,6.20468729468358
"859","wv.698",0,0,3.81345827563877,15.6019784322793,0,13.9907825434556,0,5.74141279038352,17.0029626353737,4.32286856667705,60.4734632438079,6.04734632438079
"573","wv.74",3.61652607141137,0,13.3592576152695,2.99661052963584,0,25.750436669935,1.3933006559163,1.68136128916572,8.86231688418145,2.02085107919117,59.6806607947063,5.96806607947063
"716","wv.349",0,15.7180510481554,2.07293139022493,6.11464002551148,4.13284052730869,1.64515126829158,16.890956210736,0,6.78778699559609,5.89945140311182,59.261808868936,5.9261808868936
"42","wv.449",9.51804081632095,1.97358247225597,2.28150324728572,0.665051066396197,10.346676989368,4.54790411886623,18.6933135773671,0,6.44387196351767,4.3806342909286,58.8505785423064,5.88505785423064
"265","wv.313",7.77762659501063,0,18.8987242682513,0,1.997074309175,11.0459078586076,0.938634975918162,10.7590201554334,5.33249650177619,1.14321253427623,57.8926971984485,5.78926971984485
"822","wv.437",20.8526510055815,9.83436176782929,5.23583530935808,0,3.20042627438281,1.45685557831322,0,0,9.57096849181986,6.92013438490748,57.0712328121922,5.70712328121922
"706","wv.802",1.8817572577287,2.94956728579979,2.6776936671891,0,0,0,10.9118775290815,14.877531299768,0,23.2757735230508,56.5742005626179,5.65742005626179
"785","wv.261",12.3756312910264,9.46728519791803,0,0,0,0,0,17.3713290446614,0,17.0637335477424,56.2779790813482,5.62779790813482
"978","wv.755",21.4039737775053,9.58558048325578,3.39400769233642,5.86755204458549,0,11.3691617183812,0,1.47725043097798,2.80627587366556,0,55.9038020207077,5.59038020207077
"443","wv.239",3.5190167133428,16.3419159950725,23.0526701345341,2.88011480949839,0,1.49993471736529,0,8.14819555489625,0,0,55.4418479247093,5.54418479247093
"49","wv.246",15.8582565232613,3.20070020900442,8.57287894376338,0,8.11104319315601,1.26725814591389,5.22132403954656,1.13060728938727,4.66234693861453,6.06363597114298,54.0880512537903,5.40880512537903
"821","wv.879",0.689280592189106,4.27184412846332,17.6799649906536,5.80164113641205,4.86980567952128,3.5410142410228,4.90249408707208,0,11.207846116037,0,52.9638909713712,5.29638909713712
"205","wv.776",4.71785856599061,4.95857874551201,5.93093630456799,12.9507099740905,3.97611204056583,3.72046925450188,0,0,14.5233467865488,1.05381298111704,51.8318246528947,5.18318246528947
"714","wv.389",0,2.3259144268499,0,23.3236438411177,4.28432999650119,6.75280559014888,0,2.12917876128696,9.16786622575981,2.52755532507246,50.5112941667369,5.05112941667369
"960","wv.882",14.0735365696981,1.14468622102365,18.8987242682513,0,0,11.0459078586076,0,0,5.33249650177619,0,50.4953514193568,5.04953514193568
"77","wv.614",0,3.42959237740504,0,3.53388526304918,10.5724271553136,10.6909709608425,0.916730684096291,11.7584894733497,0,9.1414912973898,50.0435872114461,5.00435872114461
"705","wv.759",0.999773863623033,4.1923270851128,6.10839060886527,13.6600471520824,0,3.50930933866544,0,0,12.3805777621438,9.03148920435269,49.8819150148454,4.98819150148454
"20","wv.446",0,15.7180510481554,2.35334124686392,0,4.28432999650119,0,16.890956210736,0,3.38581317351756,5.89945140311182,48.5319430788859,4.85319430788859
"613","ratio.punctuation",0,0,15.352713354297,6.96529253744432,0,22.4748707265402,0,1.65190421731925,0.909963190733427,1.16810941640751,48.5228534427417,4.85228534427417
"784","wv.387",0,0,10.05924461554,15.7173285574189,0,14.8533812911559,0,0,7.73218543366401,0,48.3621398977788,4.83621398977788
"980","wv.588",0,10.4470662123382,2.43145236229287,4.30576799418476,0,7.03185900882897,14.1045224009064,4.78258714092645,0.95713561246229,2.9496885663218,47.0100792982617,4.70100792982617
"283","wv.991",0,7.67801261161122,3.39400769233642,5.86755204458549,2.02050622467015,11.3691617183812,5.07391007263809,2.67424001607203,2.80627587366556,5.96090254379386,46.844568797754,4.6844568797754
"124","wv.208",0,0,0,1.05776244448816,0,0,26.5150537114267,18.9506022526743,0,0,46.5234184085892,4.65234184085892
"509","wv.873",0,0,18.8475424678409,2.16958461175784,1.08896995282941,6.89079686996627,0,0,13.1849506449708,3.29092557946565,45.4727701268309,4.54727701268309
"439","wv.955",0,1.72780762061898,10.6977029285099,5.1775733381967,0,5.68804207093561,1.50690113106317,9.42917515419384,0,11.1996019067415,45.4268041502597,4.54268041502597
"264","wv.282",14.0735365696981,1.14468622102365,6.93088911143422,2.71375146916826,5.19496817753861,9.21868446955423,0,0,5.9388676765233,0,45.2153836949404,4.52153836949404
"747","wv.159",0,10.1952933803734,0,5.175474264626,1.56150536843957,1.17711496237722,5.0422189367074,15.4482832483035,1.45782255073869,5.02280014923826,45.080512860804,4.5080512860804
"165","wv.881",0,0,0,0,0,8.1207109840119,3.04871958704136,26.9365776271934,0,6.41327223586793,44.5192804341146,4.45192804341146
"780","wv.597",4.11123709750946,6.49056911010636,1.33664751014411,7.84670140435104,0,6.82933791892469,0,5.1503645512091,8.31414407158059,4.28618384022367,44.365185504049,4.4365185504049
"823","wv.439",0,1.02198754001229,0,0,3.05230095765353,0,13.6900819803204,15.5694199798757,0,10.8848833704536,44.2186738283155,4.42186738283155
"535","wv.770",0,1.99328186938945,0.796993312472015,22.0478705197003,2.3890958822201,9.46872784651003,1.47548140923613,0,5.96829990141356,0,44.1397507409416,4.41397507409416
"759","wv.695",0,0,1.53135181670773,4.16038538515523,33.9495790958115,0,0,0,3.36987939352471,0,43.0111956911992,4.30111956911992
"860","wv.62",19.7375513065727,13.8906686019793,0,0,0,8.1207109840119,0,1.21523360760839,0,0,42.9641645001723,4.29641645001723
"738","wv.402",9.51804081632095,1.97358247225597,1.08436441950907,0,0,6.11225080741491,18.6933135773671,0,0.945927460305641,4.3806342909286,42.7081138441022,4.27081138441022
"765","wv.898",0,0,10.0396056630019,1.21145720705551,5.73209856042887,11.5747530061778,0,10.9054070587194,0,2.92906140370127,42.3923828990848,4.23923828990848
"744","liwc.space",0,0,8.57287894376338,0,6.41735166433463,1.26725814591389,6.289896743312,11.3830800444436,4.66234693861453,3.18693191475596,41.779744395138,4.1779744395138
"818","wv.573",0,0,13.8410419377622,3.37251123170654,0,7.77023221065401,0,0,13.3384136160239,3.30997270061627,41.6321716967629,4.16321716967629
"900","wv.786",0,0,5.93093630456799,12.9507099740905,0,3.72046925450188,3.17305014571127,0,14.5233467865488,1.22082194818411,41.5193344136046,4.15193344136046
"9","wv.724",0.999773863623033,4.1923270851128,8.01369494504068,0,3.50090435939061,3.52143849662415,0,0,12.2083516520757,9.03148920435269,41.4679796062197,4.14679796062197
"459","wv.707",2.25657255915374,4.43453261941082,4.53897616632041,13.5906275482624,0,0,9.56958183862114,3.53301625969651,1.89713378569145,1.05174189872994,40.8721826758864,4.08721826758864
"852","wv.452",7.49626196525358,13.7955048085132,1.26124591277127,1.55647771543251,3.11365676203346,0,1.17902584205307,10.2869118412295,0,1.83957387641782,40.5286587237044,4.05286587237044
"623","wv.645",0,0,0,0,27.4750460596585,0,0,2.95238142940618,0,9.70546483075844,40.1328923198231,4.01328923198231
"157","wv.553",0,1.57407747081229,1.26124591277127,1.55647771543251,0,0,6.61903814271778,16.6791265733234,0,12.3971762064249,40.0871420214822,4.00871420214821
"608","wv.718",20.6267860391291,5.62384507154557,0,0,0,0,7.39029022619867,3.1366311337298,0,3.09148047745239,39.8690329480555,3.98690329480555
