"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","mean"
"1","recommend",74,100,100,100,100,100,100,100,100,97.11
"2","days.interval",100,23.73,22.42,29.29,64.85,33.25,21.76,7.78,9.46,34.73
"3","index",13.37,5.11,43.41,73.29,8.04,1.64,5.7,21.78,40.95,23.7
"4","au.time.play",5.14,10.57,6.08,71.68,4.42,4.82,2.05,16.6,5.2,14.06
"5","wv.753",100,0.11,12.91,1.27,2.69,0.45,0.15,0.23,0.29,13.12
"6","wv.937",0,0.11,0.73,1.36,100,0.1,0.09,0.11,8.34,12.32
"7","wv.546",100,0.4,2.24,1.48,2.29,3.21,0.36,0.25,0.54,12.31
"8","wv.164",1.38,100,0.08,0.69,1.38,0.17,2.66,0.95,0.23,11.95
"9","wv.804",0.1,1.38,0,0.31,1.51,0.35,0.37,100,0.8,11.65
"10","wv.669",0.32,0.06,0.12,0.93,0.44,0.52,80.78,1.45,1.31,9.55
"11","n.games",7.53,1.06,3.67,54.25,3.97,3.91,1.52,3.32,5.76,9.44
"12","wv.971",74,0.09,0.23,3.96,0.11,0.2,0.94,0,0.31,8.87
"13","wv.327",0.41,0.2,6.08,2.85,1.75,1,1.93,0.34,64.03,8.73
"14","wv.491",1.55,0.09,0.48,71.68,0.81,0.37,0.26,0.12,0.49,8.43
"15","wv.622",0.78,0.03,0.2,6.85,0.62,60.35,0.17,0.14,0.71,7.76
"16","wv.774",0.44,0.44,3.37,1.36,1.3,60.48,0.21,0.51,0.9,7.67
"17","wv.480",0.54,0.14,0.44,54.25,0.15,0.56,1.05,2.1,0.57,6.64
"18","wv.129",1.34,0.17,43.41,0.91,0.92,1.52,0.73,2.53,0.74,5.81
"19","wv.698",0.09,1.16,0.9,35.94,2.16,0.89,0.97,2.31,3.52,5.33
"20","wv.613",5.21,1.25,1.71,3.41,6.94,0.06,1.74,21.07,0.16,4.62
"21","wv.89",0.18,0.05,0.39,35.94,0.56,0.47,0.28,0.41,1.17,4.38
"22","wv.108",0.36,0,0.47,15.07,10.27,0.83,6.44,0.56,0.2,3.8
"23","n.paragraph",9.87,2.2,3.64,6.85,0.52,1.63,1.21,5.91,2.18,3.78
"24","n.content.remove",6.69,1.26,12.91,9.46,2.29,0.04,0.49,0.27,0.51,3.77
"25","wv.592",0.94,0.1,0.86,6.44,1.01,0.5,17.92,0.36,3.61,3.53
"26","ratio.cap",2.9,0.5,0.86,13.94,0.49,0.23,0.58,8.56,3.63,3.52
"27","wv.893",0.23,0.08,22.42,2,0.68,0.12,0.32,1.58,1.76,3.24
"28","wv.771",0.49,0.77,6.83,1.95,5.29,2.93,2.9,0.48,7.54,3.24
"29","wv.367",0.57,0.2,2.99,8.82,0.36,0.8,0.48,13.61,0.11,3.1
"30","wv.665",7.44,0.14,2.38,8.85,3.27,0.59,2.84,0.76,0,2.92
"31","wv.422",0.23,0.11,0.09,0,3.78,0.32,0.22,21.07,0.2,2.89
"32","ratio.punctuation",0.48,0.02,1.35,0.6,18.92,0.2,0,0.92,2.83,2.81
"33","wv.856",0.35,0.24,2.17,0.43,18.92,0.51,0.07,0.65,1.8,2.79
"34","wv.724",4.26,0.46,1.9,1.21,7.06,0.66,1.97,5.11,2.41,2.78
"35","wv.355",1.1,0.09,2.32,15.07,2.54,0.96,1.38,1.03,0.54,2.78
"36","wv.261",0.66,0.1,1.14,0,1.79,0.08,1.3,16.6,3.28,2.77
"37","wv.820",5.09,0.09,1.24,14.09,0.11,0.73,0.7,0.19,0.67,2.55
"38","wv.571",0.21,0.03,0.36,12.92,3.01,3.12,0.42,1.44,0.63,2.46
"39","wv.818",0.31,0.47,0.14,14.75,1.52,1.11,0.25,2.78,0.41,2.42
"40","wv.136",0.3,1.38,0.72,11.41,2.04,1.21,0.31,3.01,1.11,2.39
"41","sd.sentence",3.92,0.02,0.95,7.54,3.98,2.48,0.63,0.5,1.5,2.39
