"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","weight","total","mean"
"1","recommend",365.762452695211,340.870297750839,391.053289398587,321.931580528513,361.522191861616,379.594670430813,327.716519190515,394.030033283614,403.409242437467,373.491923662625,3659.3822012398,365.93822012398
"638","wv.774",365.762452695211,139.200209988391,391.053289398587,104.871747068563,128.041920905623,128.587353650551,327.716519190515,142.676303793645,111.638727614298,373.491923662625,2213.04044796801,221.304044796801
"637","wv.622",0,340.870297750839,0,321.931580528513,361.522191861616,379.594670430813,7.13517110133026,394.030033283614,403.409242437467,0,2208.49318739419,220.849318739419
"2","days.interval",112.429946043225,139.200209988391,133.751656077551,104.871747068563,128.041920905623,128.587353650551,116.801063786626,142.676303793645,111.638727614298,98.8552864232328,1216.85421535171,121.685421535171
"639","wv.588",112.429946043225,7.03811156297816,133.751656077551,40.0988152357295,14.5756450206836,17.3526794186853,116.801063786626,8.79292277889293,8.28279843875511,98.8552864232328,557.978924786359,55.7978924786359
"41","wv.236",34.3064475823498,14.2529570670636,21.0892893537074,30.943963524785,8.26860003120531,29.63275941543,26.0696619715546,7.16536620986303,23.7678369734085,0,195.496882129367,19.5496882129367
"246","wv.121",8.94693255065589,20.0219670464535,28.9022691864058,26.2679258917567,24.8367258669764,28.4809548901575,22.0476239526042,1.2621576703918,6.27348294081772,16.2290238149866,183.269063811206,18.3269063811206
"3","au.time.play",16.8785980720334,7.03811156297816,18.811896344962,40.0988152357295,14.5756450206836,17.3526794186853,15.8362977796941,8.79292277889293,8.28279843875511,28.8219979980016,176.489762650416,17.6489762650416
"11","wv.110",13.2046113055028,3.73286810117402,16.6087561160249,9.1732821889855,14.1430903990564,11.3459793669778,3.59443427330328,40.4969326079638,14.9684487529396,17.0492083336953,144.317611445623,14.4317611445623
"37","n.games",23.2993872939728,27.2393686406664,1.36504095909595,16.3159499618254,5.64667309109654,14.8106170957108,8.95350896379379,11.2339725604861,13.1751644223148,21.087834025977,143.12751701494,14.312751701494
"85","wv.890",11.3211588715801,21.714972252083,30.3616664125559,11.3061736619835,20.5225916307738,9.05564029217639,34.4957278268793,0,2.62642856567599,0,141.404359513708,14.1404359513708
"87","wv.313",1.926317555296,24.1245522511241,18.1222203896563,15.4668336810173,21.2193910446135,21.0284086515079,9.44261279360955,0,10.0113952079534,17.9299226572539,139.271654232032,13.9271654232032
"640","wv.979",16.8785980720334,9.57743705250507,18.811896344962,20.128918037012,2.96111147659178,12.675076739109,15.8362977796941,4.89185779421256,0,28.8219979980016,130.583191294122,13.0583191294122
"883","liwc.Period",8.94693255065589,7.06574006544381,28.9022691864058,14.9455105797891,3.89789818496647,12.4328562437843,22.0476239526042,3.75920921787428,11.8153775727647,16.2290238149866,130.042441369275,13.0042441369275
"89","wv.621",10.2705016925875,14.8291143742163,13.2213208462646,8.17091219420297,10.506276274618,19.1278546199803,13.9688655824039,0,20.4397026267871,17.0659879075138,127.600536118574,12.7600536118574
"112","wv.905",21.9645261889148,8.1815547394095,8.61517797582188,8.06165933138994,12.8083893718638,25.4369251861574,9.09329476162136,22.3591868407774,4.13319681448867,6.73428933534089,127.388200545786,12.7388200545786
"4","wv.568",11.3525943302683,9.57743705250507,27.5388445006836,20.128918037012,2.96111147659178,12.675076739109,7.87148594163716,4.89185779421256,0,25.5172829261422,122.514608798162,12.2514608798162
"641","wv.546",11.3525943302683,9.74439738254594,27.5388445006836,13.9313651708018,6.00739883377902,2.78323918254444,7.87148594163716,10.9975154449841,1.8182588573992,25.5172829261422,117.562382570786,11.7562382570786
"677","wv.571",0,14.2529570670636,0,30.943963524785,8.26860003120531,29.63275941543,0,7.16536620986303,23.7678369734085,0,114.031483221755,11.4031483221755
"6","wv.174",4.02532950515642,0,11.4622907717992,16.2712484340177,11.8438711912096,0,16.6307748870243,26.1804138531823,11.3632222378869,12.6455780944616,110.422728974738,11.0422728974738
"882","wv.55",0,20.0219670464535,3.13440527600084,26.2679258917567,24.8367258669764,28.4809548901575,0,1.2621576703918,6.27348294081772,0,110.277619582554,11.0277619582554
"135","wv.771",0,0,0,0,18.7186934752858,7.12971272074108,7.80028497808766,34.3055653655088,17.4276943283631,21.8518462203189,107.233797088305,10.7233797088305
"31","wv.946",5.97400698573566,0,13.2476560653584,30.9694031272902,2.2681878276201,9.13761766917493,0,8.0793889440789,18.3493557580838,18.519336679983,106.544953057325,10.6544953057325
"247","wv.190",6.26572283667822,7.06574006544381,16.7569286624415,14.9455105797891,3.89789818496647,12.4328562437843,7.3284083468713,3.75920921787428,11.8153775727647,20.9843809023518,105.252032612965,10.5252032612965
"203","wv.374",7.85703092854658,27.1706266208913,11.6545333922565,12.606300567369,0,3.87596733576559,19.2720066362756,6.83610066302977,4.36211286048685,7.53948074109602,101.174159745717,10.1174159745717
"647","wv.833",0,3.73286810117402,4.82183507816712,9.1732821889855,14.1430903990564,11.3459793669778,0,40.4969326079638,14.9684487529396,1.41204733407388,100.094483829338,10.0094483829338
"678","liwc.quant",34.3064475823498,0,21.0892893537074,0,5.90817163575105,9.1244758463029,26.0696619715546,0,2.85355565957968,0,99.3516020492454,9.93516020492454
"762","wv.470",4.37771145453632,2.00069715264899,6.90568312322624,5.4105185369631,5.16039914344654,25.5392703785097,5.62239769242149,6.41280715030979,2.29287770750442,33.5732275277117,97.2955898672783,9.72955898672783
"795","wv.479",2.32596451602427,25.7471537597932,4.39009127682261,4.3876367822627,3.55813956348917,3.58777040828384,12.729674706303,0,29.1763209176708,10.6989666733864,96.601718604036,9.6601718604036
"907","wv.943",8.90383550891428,9.77691750322213,1.99760551811375,8.95562128651585,17.0973835845832,27.542731207289,2.79540713639916,8.27580011158129,7.41265771020132,3.76511103453319,96.5230706013532,9.65230706013532
"208","wv.797",0,15.9941552520744,10.7674145054015,5.48208954914277,10.189770642261,8.09186157818264,13.9715841295713,10.3405387145251,0,17.7939169872466,92.6313313584053,9.26313313584053
"673","wv.563",0,27.2393686406664,0,16.3159499618254,5.64667309109654,14.8106170957108,1.63796174820389,11.2339725604861,13.1751644223148,1.83190238824079,91.8916099085447,9.18916099085447
"723","liwc.differ",0,24.1245522511241,0,15.4668336810173,21.2193910446135,21.0284086515079,0,0,10.0113952079534,0,91.8505808362162,9.18505808362162
"271","wv.591",6.25963884437267,9.77691750322213,0,8.95562128651585,17.0973835845832,27.542731207289,3.69748563901815,8.27580011158129,7.41265771020132,2.08709923807429,91.1053351248579,9.11053351248579
"395","sd.sentence",3.37406651321762,6.80681732500552,7.22785979490667,18.232013978481,10.7630398734474,6.30120281380505,18.1002896405823,10.6914114806739,0,9.35343629259683,90.8501377127163,9.08501377127163
"159","wv.906",11.7727196681543,25.7471537597932,1.88675251170239,4.3876367822627,3.55813956348917,3.58777040828384,6.26105221328453,0,29.1763209176708,4.00701583496405,90.384561659605,9.0384561659605
"748","wv.870",0,8.1815547394095,5.46524042777567,8.06165933138994,12.8083893718638,25.4369251861574,0,22.3591868407774,4.13319681448867,0,86.4461527118624,8.64461527118624
"184","wv.974",0,24.2482743710836,1.13681940873793,15.7842455916791,3.14154767305512,1.8538973421615,6.99094529899256,5.05764688415857,14.1160579361159,13.6968261390859,86.0262606450702,8.60262606450702
