"","genre","vote","rating","train.f1score","train.auc","test.f1score","test.auc"
"1","All",50,0.8,0.73462791954209,0.739171410845659,0.692472587102634,0.698840485186962
"2","All",50,0.85,0.745647945891851,0.749026895736162,0.707569164010806,0.709145041016176
"3","All",50,0.9,0.770283131700203,0.76974397744934,0.725518826236678,0.728896130962291
"4","All",50,0.95,0.818864370287687,0.816636773780619,0.780065995080158,0.777738986248901
"5","Action",50,0.8,0.788807888267774,0.789176066413499,0.734262081460773,0.73652956091511
"6","Action",50,0.85,0.808687593009075,0.806888501435976,0.755712571243836,0.758947040681922
"7","Action",50,0.9,0.850519436890745,0.846175221764345,0.797013147343801,0.789050238273149
"8","Action",50,0.95,0.973996041328047,0.973409965966821,0.951063304395324,0.950342624677162
"9","Strategy",50,0.8,0.812448223550177,0.811878635697745,0.719898162679494,0.729236719789384
"10","Strategy",50,0.85,0.833893165925333,0.831731619424903,0.745622248733697,0.756478670247648
"11","Strategy",50,0.9,0.884414191952859,0.881136639966174,0.833353378976697,0.829618546757226
"12","Strategy",50,0.95,0.969625523456307,0.968437846358275,0.949546213173874,0.94757999574243
"13","RPG",50,0.8,0.859213039237589,0.856919727212783,0.808888765008294,0.805443028642468
"14","RPG",50,0.85,0.870756299186938,0.867551821362037,0.837985866326886,0.832245269324039
"15","RPG",50,0.9,0.895851836392088,0.892271771358011,0.852902178404383,0.849099449231237
"16","RPG",50,0.95,0.969206290898292,0.968511361001729,0.940610275966197,0.939454005458867
"17","Survival",50,0.8,0.832006762303074,0.831283363239526,0.75281385852392,0.753865773596614
"18","Survival",50,0.85,0.852276131749342,0.850430952262487,0.768543987975786,0.768114502150723
"19","Survival",50,0.9,0.896253366942973,0.893535004180905,0.828687421556268,0.826732709743613
"20","Survival",50,0.95,0.98151007488677,0.981163593041594,0.959524425951805,0.95862327519003
"21","Simulation",50,0.8,0.849883680751034,0.846045847224417,0.752361935638491,0.74573342185494
"22","Simulation",50,0.85,0.854541351950507,0.849005296251843,0.769122773983714,0.758210054802055
"23","Simulation",50,0.9,0.89462412284311,0.889781817199562,0.819525065861243,0.808682156689382
"24","Simulation",50,0.95,0.973633590501777,0.97246791000515,0.935498578489051,0.931525661778933
"25","Adventure",50,0.8,0.881192540913339,0.881031065523035,0.770344571510851,0.774270646873084
"26","Adventure",50,0.85,0.89951145198569,0.897939900585027,0.802970409971533,0.802187823180406
"27","Adventure",50,0.9,0.933660360140072,0.932015178868888,0.844894980338427,0.843804404793931
"28","Adventure",50,0.95,0.992790014818246,0.992728289815549,0.967091556736438,0.966224255063208
