"","genre","vote","total.reviews","Rating:0.8","Rating:0.85","Rating:0.9","Rating:0.95"
"1","All","50","100274","31372","20637","10548","2556"
"2","Action","50","11002","3301","2144","1001","199"
"3","Strategy","50","9262","2756","1789","909","218"
"4","RPG","50","8958","2597","1823","1015","251"
"5","Survival","50","6808","2454","1558","739","162"
"6","Simulation","50","5798","2260","1526","812","216"
"7","Adventure","50","3974","1364","924","478","136"
"8","FPS","50","3715","1117","710","329","69"
"9","Racing","50","2260","724","484","256","69"
"10","Horror","50","2635","870","558","274","51"
"11","Casual","50","1469","548","387","201","45"
"12","VisualNovel","50","760","383","279","154","38"
"13","Zombies","50","2908","807","494","220","37"
"14","Anime","50","2121","739","463","206","36"
"15","Puzzle","50","729","265","200","126","35"
"16","Platformer","50","921","301","191","93","17"
"17","TowerDefense","50","524","123","86","40","13"
"18","MassivelyMultiplayer","50","1631","379","238","81","10"
"19","Utilities","50","248","100","53","29","5"
"20","Sports","50","817","224","127","48","2"
