"","genre","vote","ws.score","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"1","All",50,0.95,15042,100,0.947980721289679,0.950529476845266,0.947654645541962,0.857894736842105,0.968316831683168,0.968316831683168,0.837240455458808,0.903257978723404,0.909767441860465,0.902778643570988,"GBM"
"2","All",50,0.95,15042,200,0.957620076450058,0.959510955859003,0.957329762515713,0.878004807692308,0.964356435643564,0.964356435643564,0.86403215003349,0.914561170212766,0.919156967599874,0.914194292838527,"GBM"
"3","All",50,0.95,15042,300,0.962439754030248,0.964052807380309,0.962163067135443,0.879835873388042,0.990759075907591,0.990759075907591,0.862692565304756,0.92719414893617,0.932008692952499,0.926725820606173,"GBM"
"4","All",50,0.95,15042,350,0.964351005484461,0.965819456617003,0.964088397790055,0.884014423076923,0.970957095709571,0.970957095709571,0.87073007367716,0.921210106382979,0.925448254167977,0.920843584693365,"GBM"
"5","All",50,0.95,15042,400,0.963852418148579,0.965357967667436,0.963586137619287,0.892962743938498,0.996699669966997,0.996699669966997,0.878767582049565,0.938164893617021,0.941983780411728,0.937733626008281,"GBM"
"6","All",50,0.95,15042,450,0.96501578859897,0.966435462010683,0.964758078017747,0.886150234741784,0.996699669966997,0.996699669966997,0.870060281312793,0.933843085106383,0.938179558869214,0.933379975639895,"GBM"
"7","All",50,0.95,15042,500,0.963603124480638,0.965127388535032,0.963335007533903,0.885111371629543,0.996699669966997,0.996699669966997,0.868720696584059,0.933178191489362,0.937597019559143,0.932710183275528,"GBM"
"8","All",50,0.95,15042,550,0.967010137942496,0.968288201933062,0.96676711870082,0.89708506841166,0.995379537953795,0.995379537953795,0.884125920964501,0.940159574468085,0.943679599499374,0.939752729459148,"GBM"
"9","All",50,0.95,15042,600,0.967010137942496,0.968288201933062,0.96676711870082,0.895334928229665,0.988118811881188,0.988118811881188,0.882786336235767,0.935837765957447,0.93944148101663,0.935452574058477,"GBM"
"10","All",50,0.95,15042,650,0.967342529499751,0.968597682780663,0.967101958814666,0.885985748218527,0.984818481848185,0.984818481848185,0.871399866041527,0.928523936170213,0.93279149734292,0.928109173944856,"GBM"
"11","All",50,0.95,15042,700,0.967841116835632,0.969062275161883,0.967604218985434,0.897849462365591,0.992079207920792,0.992079207920792,0.885465505693235,0.939162234042553,0.942615239887112,0.938772356807014,"GBM"
"12","All",50,0.95,15042,100,0.948313112846934,0.949660084169634,0.949368412616825,0.879795396419437,0.935418082936778,0.935418082936778,0.877683799609629,0.905917553191489,0.90675453047776,0.906550941273203,"GBM"
"13","All",50,0.95,15042,200,0.954296160877514,0.955219019703631,0.955218395759756,0.89424280350438,0.971447994561523,0.971447994561523,0.890045543266103,0.929853723404255,0.931247963506028,0.930746768913813,"GBM"
"14","All",50,0.95,15042,300,0.960445404686721,0.961123815746488,0.96130081300813,0.9008109794136,0.981645139360979,0.981645139360979,0.896551724137931,0.938164893617021,0.939492517891998,0.939098431749455,"GBM"
"15","All",50,0.95,15042,350,0.962439754030248,0.963011456628478,0.963252032520325,0.910056214865709,0.990482664853841,0.990482664853841,0.906310995445673,0.947473404255319,0.948567708333333,0.948396830149757,"GBM"
"16","All",50,0.95,15042,400,0.963935516037893,0.964432060317981,0.964715447154472,0.898523985239852,0.993201903467029,0.993201903467029,0.892648015614834,0.941821808510638,0.943493703584114,0.942924959540932,"GBM"
"17","All",50,0.95,15042,450,0.964683397041715,0.965143935044698,0.965447154471545,0.908118313404657,0.980965329707682,0.980965329707682,0.905009759271308,0.942154255319149,0.943137254901961,0.942987544489495,"GBM"
"18","All",50,0.95,15042,500,0.964267907595147,0.964748319396622,0.965040650406504,0.902966625463535,0.993201903467029,0.993201903467029,0.897852960312297,0.944481382978723,0.945937196503723,0.945527431889663,"GBM"
"19","All",50,0.95,15042,550,0.96617915904936,0.966570841889117,0.966910569105691,0.904143475572047,0.993881713120326,0.993881713120326,0.899154196486662,0.945478723404255,0.946891191709844,0.946517954803494,"GBM"
"20","All",50,0.95,15042,600,0.966760844274555,0.967126890203813,0.967479674796748,0.912468513853904,0.985044187627464,0.985044187627464,0.909564085881588,0.946476063829787,0.947368421052632,0.947304136754526,"GBM"
"21","All",50,0.95,15042,650,0.964849592820342,0.965302272167993,0.965609756097561,0.906327543424318,0.993201903467029,0.993201903467029,0.901756668835394,0.946476063829787,0.9477781381771,0.947479286151211,"GBM"
"22","All",50,0.95,15042,700,0.967758018946319,0.968081605791379,0.968455284552845,0.912094763092269,0.994561522773623,0.994561522773623,0.908262849707222,0.950465425531915,0.951544715447155,0.951412186240423,"GBM"
"23","All",50,0.95,15042,100,0.945986371946153,0.948182397959184,0.946067010848033,0.880224578914535,0.940039973351099,0.940039973351099,0.872594558725946,0.90625,0.909149484536082,0.906317266038522,"GBM"
"24","All",50,0.95,15042,200,0.95304969253781,0.954933397144452,0.953129291632941,0.908038585209003,0.94070619586942,0.94070619586942,0.905109489051095,0.922872340425532,0.924083769633508,0.922907842460258,"GBM"
"25","All",50,0.95,15042,300,0.960362306797407,0.961683669371034,0.960428561705934,0.906862745098039,0.986009327115256,0.986009327115256,0.899137358991374,0.94248670212766,0.944781359719119,0.942573343053315,"GBM"
"26","All",50,0.95,15042,350,0.960860894133289,0.962147392108012,0.960926239210911,0.910824108241082,0.986675549633578,0.986675549633578,0.903782349037824,0.945146276595745,0.947233770386952,0.945228949335701,"GBM"
"27","All",50,0.95,15042,400,0.962689047698188,0.963967578846,0.962757133377571,0.910056214865709,0.970686209193871,0.970686209193871,0.904445919044459,0.9375,0.939393939393939,0.937566064119165,"GBM"
"28","All",50,0.95,15042,450,0.964184809705833,0.965362050952343,0.964250165892502,0.909866017052375,0.995336442371752,0.995336442371752,0.901791639017916,0.948470744680851,0.950684059815463,0.948564040694834,"GBM"
"29","All",50,0.95,15042,500,0.963270732923384,0.96439503786048,0.963331680484965,0.915264797507788,0.978680879413724,0.978680879413724,0.909754479097545,0.944148936170213,0.945911139729556,0.944217679255635,"GBM"
"30","All",50,0.95,15042,550,0.965098886488283,0.966216216216216,0.965162574651626,0.918430884184309,0.982678214523651,0.982678214523651,0.913072329130723,0.94780585106383,0.94946894110074,0.947875271827187,"GBM"
"31","All",50,0.95,15042,600,0.965846767492106,0.966916203815504,0.965909090909091,0.914024390243902,0.998667554963358,0.998667554963358,0.906436629064366,0.952460106382979,0.954473097739573,0.952552092013862,"GBM"
"32","All",50,0.95,15042,650,0.965680571713478,0.966653209527654,0.965737121759019,0.923702313946216,0.984010659560293,0.984010659560293,0.919044459190445,0.951462765957447,0.952903225806452,0.951527559375369,"GBM"
"33","All",50,0.95,15042,700,0.967425627389064,0.968397291196388,0.967485069674851,0.920872274143302,0.984676882078614,0.984676882078614,0.915726609157266,0.950132978723404,0.951706374758532,0.95020174561794,"GBM"
