"","genre","vote","rating","train.f1score","train.auc","test.f1score","test.auc"
"1","All",50,0.05,0.894145432131943,0.891970541742198,0.865975034341591,0.863100617032013
"2","All",50,0.1,0.85229436656903,0.849161850845953,0.826762884583042,0.82496184667203
"3","Action",50,0.05,0.987447952375429,0.987240236454136,0.946733856164873,0.947533712568442
"4","Action",50,0.1,0.947250047369814,0.9454195771873,0.916450461137323,0.913761257923828
"5","Strategy",50,0.05,0.996507896120212,0.996460300117981,0.982887101259741,0.982755768186606
"6","Strategy",50,0.1,0.973632313389578,0.972896609067649,0.931029935000079,0.931236197004138
"7","RPG",50,0.05,0.968151775066021,0.967534685766255,0.921895264330517,0.92010451243101
"8","RPG",50,0.1,0.935015876869743,0.933705129764363,0.899793300340541,0.897301539153101
"9","Survival",50,0.05,0.99915919247347,0.999152565823888,0.991319680804831,0.991243165736857
"10","Survival",50,0.1,0.994353688241923,0.994332139562824,0.976517175299709,0.976270760483123
"11","Simulation",50,0.05,0.999032262595718,0.999028359804227,0.989884508696758,0.989843549380739
"12","Simulation",50,0.1,0.989499841750719,0.989579067450706,0.958965542593896,0.959114313321605
"13","Adventure",50,0.05,0.999159760480993,0.999142321619475,0.983636892361691,0.983481268681155
"14","Adventure",50,0.1,0.98987864789885,0.989699752017625,0.947677156298079,0.946987492894258
"15","FPS",50,0.05,0.999527093545483,0.999531226772897,0.99241969431339,0.992448836221345
"16","FPS",50,0.1,0.997675715547269,0.997686412975147,0.966772618002107,0.966807427903262
"17","Horror",50,0.05,0.999290061181827,0.999287329413226,0.994855156831646,0.994796904659676
"18","Horror",50,0.1,0.999666720317074,0.999669440562038,0.971686307988277,0.971569303876576
"19","Racing",50,0.05,1,1,0.976590132148289,0.977183338364315
"20","Racing",50,0.1,0.999945085118067,0.999945115257958,0.968052339866759,0.96800865746303
"21","Casual",50,0.05,1,1,0.968202435166235,0.96870320227917
"22","Casual",50,0.1,0.999232207438068,0.999232861708899,0.928241012504367,0.926723540203937
