"","genre","vote","ws.score","train.f1score","train.auc","test.f1score","test.auc"
"1","All",50,0.05,0.858787130552845,0.8548100306113,0.833362434584691,0.825903331819775
"2","All",50,0.1,0.838376092279021,0.834238003474637,0.810736050082862,0.802219019642551
"3","Action",50,0.05,0.950638732033813,0.949096437282081,0.903003427283513,0.901856084021927
"4","Action",50,0.1,0.924063510614394,0.92210559121873,0.899060989627118,0.896416996244737
"5","Strategy",50,0.05,0.975068570808341,0.974298629945491,0.944168408445874,0.943206725280429
"6","Strategy",50,0.1,0.946310877866104,0.945353333238854,0.91302153082501,0.911783129446272
"7","RPG",50,0.05,0.938238372407007,0.936468614033798,0.896782089540414,0.894370187110154
"8","RPG",50,0.1,0.920734029916053,0.919776105238558,0.888336946752827,0.886695481246702
"9","Survival",50,0.05,0.995285707205229,0.995262819551555,0.981598937965617,0.981484156112032
"10","Survival",50,0.1,0.988484873756831,0.988186140806575,0.924071788561147,0.92494809278531
"11","Simulation",50,0.05,0.989696759752329,0.989711485773547,0.959449825246717,0.959110599861676
"12","Simulation",50,0.1,0.972866685595698,0.972490496632818,0.928533413116256,0.927771409041433
"13","Adventure",50,0.05,0.991529916565405,0.991427660601375,0.946661920506127,0.946202229524814
"14","Adventure",50,0.1,0.966827348020263,0.966011066301595,0.905273155844453,0.902466893017246
"15","FPS",50,0.05,0.997560604466837,0.997598962216782,0.969691319680045,0.970143582865458
"16","FPS",50,0.1,0.989909376365457,0.989732519101683,0.954613552082474,0.953578608288896
"17","Horror",50,0.05,0.999578287574976,0.999568188971127,0.969835336706848,0.969897296187977
"18","Horror",50,0.1,0.997015151673256,0.997019294385596,0.926539702616734,0.92925967178219
"19","Racing",50,0.05,0.999945205479452,0.999944258639911,0.979189027656378,0.97895713920075
"20","Racing",50,0.1,0.999049865140718,0.999068167724449,0.952749622745914,0.952020189638164
"21","Anime",50,0.05,0.999298143852816,0.999288301600723,0.984482030853515,0.984079474600635
"22","Anime",50,0.1,0.999057141691335,0.99905791006993,0.97113267114971,0.970799138304694
